v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0,0,0,0,0,0,0,0,1,22.0,10495,1133,9362,0.0,0.0,0,1032.7970182552294,22.0,20,88,False,{},{},{},{},0.0,0.0,1094.0,547.0,5363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,1.9279508590698242,0.0,0.0
2,0,0,0,0,0,0,0,0,0,1,1,46.0,10495,1133,9362,0.0,0.0,1,551.3959981365351,46.0,13,36,False,"{0: 25, 1: 28, 2: 21, 3: 18, 4: 23, 5: 17}","{(2, 0): [(21, 13), (13, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 9), (9, 25)], (2, 1): [(21, 13), (13, 6), (6, 2), (2, 5), (5, 12), (12, 28)], (4, 1): [(23, 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, 28)], (4, 2): [(23, 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 21)], (4, 3): [(23, 7), (7, 3), (3, 1), (1, 4), (4, 10), (10, 18)], (5, 0): [(17, 9), (9, 25)], (5, 4): []}","{(0, 25): {'cpu': 19}, (1, 28): {'cpu': 25}, (2, 21): {'cpu': 28}, (3, 18): {'cpu': 39}, (4, 23): {'cpu': 31}, (5, 17): {'cpu': 38}}","{((2, 0), (21, 13)): {'bw': 39}, ((2, 0), (13, 6)): {'bw': 39}, ((2, 0), (6, 2)): {'bw': 39}, ((2, 0), (2, 0)): {'bw': 39}, ((2, 0), (0, 1)): {'bw': 39}, ((2, 0), (1, 4)): {'bw': 39}, ((2, 0), (4, 9)): {'bw': 39}, ((2, 0), (9, 25)): {'bw': 39}, ((2, 1), (21, 13)): {'bw': 23}, ((2, 1), (13, 6)): {'bw': 23}, ((2, 1), (6, 2)): {'bw': 23}, ((2, 1), (2, 5)): {'bw': 23}, ((2, 1), (5, 12)): {'bw': 23}, ((2, 1), (12, 28)): {'bw': 23}, ((4, 1), (23, 7)): {'bw': 64}, ((4, 1), (7, 3)): {'bw': 64}, ((4, 1), (3, 1)): {'bw': 64}, ((4, 1), (1, 0)): {'bw': 64}, ((4, 1), (0, 2)): {'bw': 64}, ((4, 1), (2, 5)): {'bw': 64}, ((4, 1), (5, 12)): {'bw': 64}, ((4, 1), (12, 28)): {'bw': 64}, ((4, 2), (23, 7)): {'bw': 57}, ((4, 2), (7, 3)): {'bw': 57}, ((4, 2), (3, 1)): {'bw': 57}, ((4, 2), (1, 0)): {'bw': 57}, ((4, 2), (0, 2)): {'bw': 57}, ((4, 2), (2, 6)): {'bw': 57}, ((4, 2), (6, 13)): {'bw': 57}, ((4, 2), (13, 21)): {'bw': 57}, ((4, 3), (23, 7)): {'bw': 71}, ((4, 3), (7, 3)): {'bw': 71}, ((4, 3), (3, 1)): {'bw': 71}, ((4, 3), (1, 4)): {'bw': 71}, ((4, 3), (4, 10)): {'bw': 71}, ((4, 3), (10, 18)): {'bw': 71}, ((5, 0), (17, 9)): {'bw': 36}, ((5, 0), (9, 25)): {'bw': 36}}",0.0,0.0,706.0,353.0,1992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -50}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -44}, 1: {'cpu': -45}, 2: {'cpu': -46}, 3: {'cpu': -50}, 4: {'cpu': -56}, 5: {'cpu': -50}}, 'link_level': {(2, 0): {'bw': -240}, (2, 1): {'bw': -209}, (4, 1): {'bw': -145}, (4, 2): {'bw': -108}, (4, 3): {'bw': -37}, (5, 0): {'bw': -288}, (5, 4): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (4, 1): {}, (4, 2): {}, (4, 3): {}, (5, 0): {}, (5, 4): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (2, 1): {'bw': 0}, (4, 1): {'bw': 0}, (4, 2): {'bw': 0}, (4, 3): {'bw': 0}, (5, 0): {'bw': 0}, (5, 4): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (4, 1): {}, (4, 2): {}, (4, 3): {}, (5, 0): {}, (5, 4): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,0.6346440315246582,6.0,7.0
3,0,0,0,0,0,0,0,0,0,2,1,74.0,10495,1133,9362,0.0,0.0,2,932.4028734240075,74.0,8,19,False,"{0: 21, 1: 28, 2: 20, 3: 18}","{(1, 0): [(28, 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, 21)], (3, 1): [(18, 10), (10, 4), (4, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, 28)], (3, 2): []}","{(0, 21): {'cpu': 24}, (1, 28): {'cpu': 10}, (2, 20): {'cpu': 40}, (3, 18): {'cpu': 30}}","{((1, 0), (28, 12)): {'bw': 75}, ((1, 0), (12, 5)): {'bw': 75}, ((1, 0), (5, 2)): {'bw': 75}, ((1, 0), (2, 6)): {'bw': 75}, ((1, 0), (6, 13)): {'bw': 75}, ((1, 0), (13, 21)): {'bw': 75}, ((3, 1), (18, 10)): {'bw': 97}, ((3, 1), (10, 4)): {'bw': 97}, ((3, 1), (4, 1)): {'bw': 97}, ((3, 1), (1, 0)): {'bw': 97}, ((3, 1), (0, 2)): {'bw': 97}, ((3, 1), (2, 5)): {'bw': 97}, ((3, 1), (5, 12)): {'bw': 97}, ((3, 1), (12, 28)): {'bw': 97}}",0.0,0.0,426.0,213.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -59}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -50}, 1: {'cpu': -60}, 2: {'cpu': -56}, 3: {'cpu': -59}}, 'link_level': {(1, 0): {'bw': -157}, (3, 1): {'bw': -60}, (3, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (3, 1): {}, (3, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (3, 1): {'bw': 0}, (3, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (3, 1): {}, (3, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,0.2372453212738037,4.0,3.0
4,0,0,0,0,0,0,0,0,0,3,1,97.0,10495,1133,9362,0.0,0.0,3,19.37977898464945,97.0,11,31,False,"{0: 20, 1: 22, 2: 24, 3: 19, 4: 17}","{(2, 0): [(24, 8), (8, 3), (3, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, 20)], (2, 1): [(24, 8), (8, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 14), (14, 22)], (3, 0): [(19, 11), (11, 5), (5, 12), (12, 20)], (3, 1): [(19, 11), (11, 5), (5, 2), (2, 6), (6, 14), (14, 22)], (4, 3): []}","{(0, 20): {'cpu': 35}, (1, 22): {'cpu': 14}, (2, 24): {'cpu': 23}, (3, 19): {'cpu': 22}, (4, 17): {'cpu': 28}}","{((2, 0), (24, 8)): {'bw': 100}, ((2, 0), (8, 3)): {'bw': 100}, ((2, 0), (3, 1)): {'bw': 100}, ((2, 0), (1, 0)): {'bw': 100}, ((2, 0), (0, 2)): {'bw': 100}, ((2, 0), (2, 5)): {'bw': 100}, ((2, 0), (5, 12)): {'bw': 100}, ((2, 0), (12, 20)): {'bw': 100}, ((2, 1), (24, 8)): {'bw': 28}, ((2, 1), (8, 3)): {'bw': 28}, ((2, 1), (3, 1)): {'bw': 28}, ((2, 1), (1, 0)): {'bw': 28}, ((2, 1), (0, 2)): {'bw': 28}, ((2, 1), (2, 6)): {'bw': 28}, ((2, 1), (6, 14)): {'bw': 28}, ((2, 1), (14, 22)): {'bw': 28}, ((3, 0), (19, 11)): {'bw': 63}, ((3, 0), (11, 5)): {'bw': 63}, ((3, 0), (5, 12)): {'bw': 63}, ((3, 0), (12, 20)): {'bw': 63}, ((3, 1), (19, 11)): {'bw': 66}, ((3, 1), (11, 5)): {'bw': 66}, ((3, 1), (5, 2)): {'bw': 66}, ((3, 1), (2, 6)): {'bw': 66}, ((3, 1), (6, 14)): {'bw': 66}, ((3, 1), (14, 22)): {'bw': 66}}",0.0,0.0,508.0,254.0,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -60}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -61}, 1: {'cpu': -53}, 2: {'cpu': -52}, 3: {'cpu': -51}, 4: {'cpu': -60}}, 'link_level': {(2, 0): {'bw': -131}, (2, 1): {'bw': -103}, (3, 0): {'bw': -69}, (3, 1): {'bw': -99}, (4, 3): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (3, 0): {}, (3, 1): {}, (4, 3): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (4, 3): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (3, 0): {}, (3, 1): {}, (4, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,0.5590410232543945,5.0,5.0
4,0,0,0,0,0,0,0,0,0,4,0,116.37977898464945,10495,1133,9362,0.0,0.0,3,19.37977898464945,97.0,11,31,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
5,0,0,0,0,0,0,0,0,0,5,1,127.0,10495,1133,9362,0.0,0.0,4,358.92721650797046,127.0,19,81,False,{},{},{},{},0.0,0.0,984.0,492.0,4894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,1.7197940349578857,0.0,0.0
6,0,0,0,0,0,0,0,0,0,6,1,155.0,10495,1133,9362,0.0,0.0,5,1079.32019606284,155.0,11,34,False,"{0: 24, 1: 25, 2: 17, 3: 21, 4: 23, 5: 18}","{(2, 0): [(17, 9), (9, 4), (4, 1), (1, 3), (3, 8), (8, 24)], (3, 0): [(21, 13), (13, 6), (6, 2), (2, 0), (0, 1), (1, 3), (3, 8), (8, 24)], (3, 1): [(21, 13), (13, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 9), (9, 25)], (3, 2): [(21, 13), (13, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 9), (9, 17)], (4, 0): [(23, 7), (7, 3), (3, 8), (8, 24)], (4, 2): [(23, 7), (7, 3), (3, 1), (1, 4), (4, 9), (9, 17)], (5, 2): [(18, 10), (10, 4), (4, 9), (9, 17)], (5, 3): []}","{(0, 24): {'cpu': 27}, (1, 25): {'cpu': 11}, (2, 17): {'cpu': 28}, (3, 21): {'cpu': 22}, (4, 23): {'cpu': 25}, (5, 18): {'cpu': 37}}","{((2, 0), (17, 9)): {'bw': 100}, ((2, 0), (9, 4)): {'bw': 100}, ((2, 0), (4, 1)): {'bw': 100}, ((2, 0), (1, 3)): {'bw': 100}, ((2, 0), (3, 8)): {'bw': 100}, ((2, 0), (8, 24)): {'bw': 100}, ((3, 0), (21, 13)): {'bw': 85}, ((3, 0), (13, 6)): {'bw': 85}, ((3, 0), (6, 2)): {'bw': 85}, ((3, 0), (2, 0)): {'bw': 85}, ((3, 0), (0, 1)): {'bw': 85}, ((3, 0), (1, 3)): {'bw': 85}, ((3, 0), (3, 8)): {'bw': 85}, ((3, 0), (8, 24)): {'bw': 85}, ((3, 1), (21, 13)): {'bw': 70}, ((3, 1), (13, 6)): {'bw': 70}, ((3, 1), (6, 2)): {'bw': 70}, ((3, 1), (2, 0)): {'bw': 70}, ((3, 1), (0, 1)): {'bw': 70}, ((3, 1), (1, 4)): {'bw': 70}, ((3, 1), (4, 9)): {'bw': 70}, ((3, 1), (9, 25)): {'bw': 70}, ((3, 2), (21, 13)): {'bw': 24}, ((3, 2), (13, 6)): {'bw': 24}, ((3, 2), (6, 2)): {'bw': 24}, ((3, 2), (2, 0)): {'bw': 24}, ((3, 2), (0, 1)): {'bw': 24}, ((3, 2), (1, 4)): {'bw': 24}, ((3, 2), (4, 9)): {'bw': 24}, ((3, 2), (9, 17)): {'bw': 24}, ((4, 0), (23, 7)): {'bw': 36}, ((4, 0), (7, 3)): {'bw': 36}, ((4, 0), (3, 8)): {'bw': 36}, ((4, 0), (8, 24)): {'bw': 36}, ((4, 2), (23, 7)): {'bw': 71}, ((4, 2), (7, 3)): {'bw': 71}, ((4, 2), (3, 1)): {'bw': 71}, ((4, 2), (1, 4)): {'bw': 71}, ((4, 2), (4, 9)): {'bw': 71}, ((4, 2), (9, 17)): {'bw': 71}, ((5, 2), (18, 10)): {'bw': 66}, ((5, 2), (10, 4)): {'bw': 66}, ((5, 2), (4, 9)): {'bw': 66}, ((5, 2), (9, 17)): {'bw': 66}}",0.0,0.0,518.0,259.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -52}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -48}, 1: {'cpu': -52}, 2: {'cpu': -60}, 3: {'cpu': -52}, 4: {'cpu': -62}, 5: {'cpu': -52}}, 'link_level': {(2, 0): {'bw': -131}, (3, 0): {'bw': -46}, (3, 1): {'bw': -112}, (3, 2): {'bw': -88}, (4, 0): {'bw': -10}, (4, 2): {'bw': -17}, (5, 2): {'bw': -16}, (5, 3): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (3, 0): {}, (3, 1): {}, (3, 2): {}, (4, 0): {}, (4, 2): {}, (5, 2): {}, (5, 3): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (3, 2): {'bw': 0}, (4, 0): {'bw': 0}, (4, 2): {'bw': 0}, (5, 2): {'bw': 0}, (5, 3): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (3, 0): {}, (3, 1): {}, (3, 2): {}, (4, 0): {}, (4, 2): {}, (5, 2): {}, (5, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,0.5617339611053467,6.0,8.0
7,0,0,0,0,0,0,0,0,0,7,1,184.0,10495,1133,9362,0.0,0.0,6,342.5996208513074,184.0,15,55,False,"{0: 29, 1: 23, 2: 24, 3: 15, 4: 27, 5: 20}","{(2, 0): [(24, 8), (8, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 29)], (2, 1): [(24, 8), (8, 3), (3, 7), (7, 23)], (3, 0): [(15, 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 13), (13, 29)], (4, 1): [(27, 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, 23)], (4, 3): [(27, 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, 15)], (5, 0): [(20, 12), (12, 5), (5, 2), (2, 6), (6, 13), (13, 29)], (5, 2): []}","{(0, 29): {'cpu': 24}, (1, 23): {'cpu': 37}, (2, 24): {'cpu': 35}, (3, 15): {'cpu': 23}, (4, 27): {'cpu': 22}, (5, 20): {'cpu': 40}}","{((2, 0), (24, 8)): {'bw': 49}, ((2, 0), (8, 3)): {'bw': 49}, ((2, 0), (3, 1)): {'bw': 49}, ((2, 0), (1, 0)): {'bw': 49}, ((2, 0), (0, 2)): {'bw': 49}, ((2, 0), (2, 6)): {'bw': 49}, ((2, 0), (6, 13)): {'bw': 49}, ((2, 0), (13, 29)): {'bw': 49}, ((2, 1), (24, 8)): {'bw': 59}, ((2, 1), (8, 3)): {'bw': 59}, ((2, 1), (3, 7)): {'bw': 59}, ((2, 1), (7, 23)): {'bw': 59}, ((3, 0), (15, 7)): {'bw': 48}, ((3, 0), (7, 3)): {'bw': 48}, ((3, 0), (3, 1)): {'bw': 48}, ((3, 0), (1, 0)): {'bw': 48}, ((3, 0), (0, 2)): {'bw': 48}, ((3, 0), (2, 6)): {'bw': 48}, ((3, 0), (6, 13)): {'bw': 48}, ((3, 0), (13, 29)): {'bw': 48}, ((4, 1), (27, 11)): {'bw': 58}, ((4, 1), (11, 5)): {'bw': 58}, ((4, 1), (5, 2)): {'bw': 58}, ((4, 1), (2, 0)): {'bw': 58}, ((4, 1), (0, 1)): {'bw': 58}, ((4, 1), (1, 3)): {'bw': 58}, ((4, 1), (3, 7)): {'bw': 58}, ((4, 1), (7, 23)): {'bw': 58}, ((4, 3), (27, 11)): {'bw': 43}, ((4, 3), (11, 5)): {'bw': 43}, ((4, 3), (5, 2)): {'bw': 43}, ((4, 3), (2, 0)): {'bw': 43}, ((4, 3), (0, 1)): {'bw': 43}, ((4, 3), (1, 3)): {'bw': 43}, ((4, 3), (3, 7)): {'bw': 43}, ((4, 3), (7, 15)): {'bw': 43}, ((5, 0), (20, 12)): {'bw': 72}, ((5, 0), (12, 5)): {'bw': 72}, ((5, 0), (5, 2)): {'bw': 72}, ((5, 0), (2, 6)): {'bw': 72}, ((5, 0), (6, 13)): {'bw': 72}, ((5, 0), (13, 29)): {'bw': 72}}",0.0,0.0,864.0,432.0,3313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -56}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -42}, 1: {'cpu': -50}, 2: {'cpu': -40}, 3: {'cpu': -39}, 4: {'cpu': -37}, 5: {'cpu': -56}}, 'link_level': {(2, 0): {'bw': -182}, (2, 1): {'bw': -123}, (3, 0): {'bw': -122}, (4, 1): {'bw': -64}, (4, 3): {'bw': -21}, (5, 0): {'bw': -84}, (5, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (3, 0): {}, (4, 1): {}, (4, 3): {}, (5, 0): {}, (5, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 0): {'bw': 0}, (4, 1): {'bw': 0}, (4, 3): {'bw': 0}, (5, 0): {'bw': 0}, (5, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (2, 1): {}, (3, 0): {}, (4, 1): {}, (4, 3): {}, (5, 0): {}, (5, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,1.1322219371795654,6.0,7.0
8,0,0,0,0,0,0,0,0,0,8,1,207.0,10495,1133,9362,0.0,0.0,7,962.3750612405853,207.0,17,74,False,{},{},{},{},0.0,0.0,732.0,366.0,4421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,1.440260648727417,0.0,0.0
9,0,0,0,0,0,0,0,0,0,9,1,228.0,10495,1133,9362,0.0,0.0,8,559.9610741949535,228.0,11,24,False,"{0: 17, 1: 19, 2: 24, 3: 28, 4: 29}","{(1, 0): [(19, 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 4), (4, 9), (9, 17)], (2, 1): [(24, 8), (8, 3), (3, 1), (1, 0), (0, 2), (2, 5), (5, 11), (11, 19)], (4, 0): [(29, 13), (13, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 9), (9, 17)], (4, 2): []}","{(0, 17): {'cpu': 36}, (1, 19): {'cpu': 21}, (2, 24): {'cpu': 22}, (3, 28): {'cpu': 21}, (4, 29): {'cpu': 18}}","{((1, 0), (19, 11)): {'bw': 68}, ((1, 0), (11, 5)): {'bw': 68}, ((1, 0), (5, 2)): {'bw': 68}, ((1, 0), (2, 0)): {'bw': 68}, ((1, 0), (0, 1)): {'bw': 68}, ((1, 0), (1, 4)): {'bw': 68}, ((1, 0), (4, 9)): {'bw': 68}, ((1, 0), (9, 17)): {'bw': 68}, ((2, 1), (24, 8)): {'bw': 96}, ((2, 1), (8, 3)): {'bw': 96}, ((2, 1), (3, 1)): {'bw': 96}, ((2, 1), (1, 0)): {'bw': 96}, ((2, 1), (0, 2)): {'bw': 96}, ((2, 1), (2, 5)): {'bw': 96}, ((2, 1), (5, 11)): {'bw': 96}, ((2, 1), (11, 19)): {'bw': 96}, ((4, 0), (29, 13)): {'bw': 94}, ((4, 0), (13, 6)): {'bw': 94}, ((4, 0), (6, 2)): {'bw': 94}, ((4, 0), (2, 0)): {'bw': 94}, ((4, 0), (0, 1)): {'bw': 94}, ((4, 0), (1, 4)): {'bw': 94}, ((4, 0), (4, 9)): {'bw': 94}, ((4, 0), (9, 17)): {'bw': 94}}",0.0,0.0,536.0,268.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -48}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -52}, 1: {'cpu': -52}, 2: {'cpu': -53}, 3: {'cpu': -49}, 4: {'cpu': -48}}, 'link_level': {(1, 0): {'bw': -160}, (2, 1): {'bw': -64}, (4, 0): {'bw': -21}, (4, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (4, 0): {}, (4, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 1): {'bw': 0}, (4, 0): {'bw': 0}, (4, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (4, 0): {}, (4, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,0.35659170150756836,5.0,4.0
